Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-01-01,1610.92822265625,1617.0237682978761,1595.8585357285322,1605.1712380590434,1094883
2019-01-02,1628.28369140625,1637.7233023281976,1608.5576535792757,1612.7907000360633,2100463
2019-01-03,1608.514892578125,1646.6123014711172,1602.715641004692,1624.6428370144927,2611668
2019-01-04,1588.9583740234375,1609.573286306164,1558.6074564451544,1608.5573966571394,4280862
2019-01-07,1606.7796630859375,1616.0077242748102,1592.4719465651187,1601.6153675009627,1856423
2019-01-08,1603.0966796875,1613.9755857975501,1594.4189365367627,1613.1289767096732,1691756
2019-01-09,1597.5093994140625,1624.6432691930738,1580.3655608517072,1614.82262184628,2414376
2019-01-10,1598.86376953125,1612.7904488668541,1584.936986849801,1600.0913114742018,3053461
2019-01-11,1559.919921875,1587.3923508215423,1553.5279806706826,1583.1593045526847,9209862
2019-01-14,1535.114501953125,1567.0740069572503,1532.363021389856,1566.2273975531675,3615370
2019-01-15,1581.296875,1582.609057393477,1530.6695980620375,1532.3628166439646,7711653
2019-01-16,1583.286376953125,1587.3924113212372,1563.6873513121734,1583.1593648910473,2359280
2019-01-17,1607.169189453125,1610.3083159761893,1587.6554427368699,1593.33984057075,2625816
2019-01-18,1612.5567626953125,1615.5686051317696,1591.6430947086167,1595.8852138309744,1683728
2019-01-21,1619.3865966796875,1639.1549142463548,1608.1449804199751,1613.7021981866287,2409803
2019-01-22,1613.6175537109375,1627.489264773322,1603.5212878517289,1618.029316885483,2457093
2019-01-23,1591.3038330078125,1617.1807617444829,1586.5526799204551,1612.8538206036285,2578169
2019-01-24,1613.3206787109375,1616.4598060452329,1590.7949803620581,1599.10957688637,1962927
2019-01-25,1629.65283203125,1641.7004111928966,1612.853995699068,1613.7024196841805,2327080
2019-01-28,1658.6689453125,1664.607913403133,1633.6404369305467,1640.0036170276535,2769033
2019-01-29,1682.2125244140625,1687.5576365275876,1643.1002024844968,1664.6077281051018,2557626
2019-01-30,1681.067138671875,1687.9393515586144,1658.3717993131452,1679.539934222657,2429575
2019-01-31,1708.810546875,1713.6041625971006,1684.1214322343085,1685.8182800249729,4094319
2019-02-01,1722.25830078125,1726.3307775108467,1695.2360164136505,1704.908070970904,3064163
2019-02-04,1739.48095703125,1743.892719519224,1716.3614076694153,1722.2579118595256,1590764
2019-02-05,1734.6451416015625,1743.511130008477,1720.603684504716,1739.2690104707435,1111404
2019-02-06,1760.3101806640625,1770.5337314306187,1731.67587027306,1739.1842984947284,1789812
2019-02-07,1767.1822509765625,1779.9510734895723,1753.6923923508461,1760.2676782921712,1339945
2019-02-08,1748.941162109375,1772.7819595181807,1740.1176353059527,1760.4798114382506,1684474
2019-02-11,1752.7589111328125,1778.2965542359977,1738.3357043475014,1747.7532928082803,1778730
2019-02-12,1740.626708984375,1756.2376272616862,1712.1195805865134,1756.2376272616862,2422903
2019-02-14,1734.6876220703125,1760.479731378441,1724.8883873927055,1747.7958344997985,1724085
2019-02-15,1722.0460205078125,1740.9659156969665,1706.138071716722,1738.4206438903918,1930065
2019-02-18,1671.649658203125,1732.439148024462,1665.1591946290014,1728.748524758351,2942184
