Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2020-01-01,633.1510620117188,635.8577748694352,629.4562232684716,631.5614385527498,2112415
2020-01-02,631.3035888671875,636.545097531161,628.0383841693595,634.9125214049994,5658200
2020-01-03,641.0133666992188,642.7319011943908,630.6162539816314,630.6162539816314,7882938
2020-01-06,634.8695678710938,647.7156233670265,632.8503108716351,641.0992552489884,6519403
2020-01-07,625.460693359375,638.091880808106,623.0547029448412,634.1392721765393,7899363
2020-01-08,617.125732421875,626.4058079768749,608.6189659032445,622.9257861994387,8639443
2020-01-09,625.1598510742188,628.5539670587161,613.7745604883978,620.1331588503805,13521186
2020-01-10,634.2681884765625,638.3497082159341,627.6947725496843,636.244492808629,9341405
2020-01-13,664.6863403320312,668.0804573245858,648.7469392669611,653.0432766130999,36952038
2020-01-14,666.49072265625,667.607759691393,659.2299032595474,661.592888406991,11414418
2020-01-15,659.5305786132812,664.9439518924611,654.8905668506321,664.9439518924611,6047430
2020-01-16,659.0580444335938,663.7840147652558,653.2579899356449,662.237344054906,5740586
2020-01-17,659.7884521484375,664.1277944750946,654.9765756863783,662.2373957058855,3762957
2020-01-20,660.3040161132812,665.416667416314,655.5780456130107,663.0106768415801,3887680
2020-01-21,655.1912841796875,662.0654222432121,653.6875664782915,660.3039348535362,4448374
2020-01-22,661.8076782226562,668.5099526054332,658.1987451102337,660.3039604629397,9733935
2020-01-23,673.9662475585938,674.9544258757634,667.3928845536539,667.736559986857,12528017
2020-01-24,672.5914916992188,675.8137441346989,664.7291747784413,666.5766204863226,7540490
2020-01-27,668.5958862304688,674.3529878110744,665.4166390766485,669.4122006803074,3741610
2020-01-28,668.5100708007812,671.7752765957937,663.3544661416493,671.0878731303472,5121009
2020-01-29,678.5634155273438,681.2271232506934,673.8803981274411,675.8996553584789,6832757
2020-01-30,670.8299560546875,678.5633613449273,668.5099239785133,678.5633613449273,3859680
